,재 항 선 박 현 황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
56,79,3ESF6,SKY VENUS,파나마,3606,99.3,인고트,3000,"11/13
21:00","11/19
18:00",일본,하이요,아스팍,군장신항만,
57,입 항 예 정 선 박,,,,,,,,,,전출항지 ,화주,대리점,하역사,비고
58,,,,,,,,,,,,,,,
59,54,V3CG3,GUANG XING,벨리즈,1970,74.2,활석,2307,"11/18
15:00",,,한솔,서교,한솔,
60,,9LU2366,CHANG RONG,시에라리온,1457,70,고철,2000,"11/18
18:00",,,세아,아스팍,통운,
61,56-1,3EWP6,SHIKOKU ISLAND,파나마,21168,176.9,수산화알루미늄,2300,"11/19
17:00",,,오성,아스팍,통운,
62,57,UBAS9,ZALIV STRELOK,러시아,3159,100,가스오일,4300,"11/15
20:00",,,수성,제일,세방,제2정박
63,53,3FNV2,BERGE HALLASAN,파나마,23749,183,뉴송,16894,"11/19
13:00",,,목협,아스팍,한솔,
64,58,3FVX4,VAST OCEAN 1,파나마,7657,114,기자재,174,"11/19
14:00",,,,서교,통운,
65,71,3FGW5,NEMRUT BAY,파나마,21627,179.97,뉴송,8838,"11/12
12:00","11/19
17:00",뉴질랜드,목협,아스팍,7부두운영,"제A0정박
11/26 13:00접안예정"
66,61,V7QK4,ULTRA JAGUAR,마샬제도,43036,229,소맥,29465,"11/20
AM",,,팜스코,아스팍,선광,
67,58,V3FY3,JUN FENG,벨리즈,1881,82.5,파이프,1650,"11/19
09:00",,,세아,우일,통운,
68,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,
83,"11.16(월) 03:19/저/660, 10:02/고/-15,  15:53/저/743, 22:41/고/044 ",,,,,,,"11.17(화) 04:02/저/644, 10:43/고/-10, 16:37/저/736  23:25/고/068",,,,,,,
84,"11.18(수) 04:44/저/618, 11:22/고/012, 17:22/저/712, --:--/-/---",,,,,,,"11.19(목) 05:28/저/585, 00:09/고/104, 18:08/저/675, 12:02/고/047",,,,,,,
85,"11.20(금) 06:13/저/548, 00:54/고/145, 18:56/저/630, 12:44/고/092",,,,,,,"11.21(토) 07:03/저/509, 01:43/고/186, 19:50/저/582, 13:30/고/142",,,,,,,
